industry_code	naics_code	industry_text	display_level	selectable	sort_sequence
N4238__	4238	Machinery, equipment, and supplies merchant wholesalers	3	T	246	
N4239__	4239	Miscellaneous durable goods merchant wholesalers	3	T	247	
N423___	423	Merchant wholesalers, durable goods	2	T	238	
N4241__	4241	Paper and paper product merchant wholesalers	3	T	249	
N424210	424210	Drugs and druggists' sundries merchant wholesalers	5	T	252	
N42421_	42421	Drugs and druggists' sundries merchant wholesalers	4	T	251	
N4242__	4242	Drugs and druggists' sundries merchant wholesalers	3	T	250	
N4243__	4243	Apparel, piece goods, and notions merchant wholesalers	3	T	253	
N4244__	4244	Grocery and related product wholesalers	3	T	254	
N4245__	4245	Farm product raw material merchant wholesalers	3	T	255	
N4246__	4246	Chemical and allied products merchant wholesalers	3	T	256	
N4247__	4247	Petroleum and petroleum products merchant wholesalers	3	T	257	
N4248__	4248	Beer, wine, and distilled alcoholic beverage merchant wholesalers	3	T	258	
N4249__	4249	Miscellaneous nondurable goods merchant wholesalers	3	T	259	
N424___	424	Merchant wholesalers, nondurable goods	2	T	248	
N4251__	4251	Wholesale electronic markets and agents and brokers	3	T	261	
N425___	425	Wholesale electronic markets and agents and brokers	2	T	260	
N42____	42	Wholesale trade	1	T	237	
N441110	441110	New car dealers	5	T	267	
N44111_	44111	New car dealers	4	T	266	
N441120	441120	Used car dealers	5	T	269	
N44112_	44112	Used car dealers	4	T	268	
N4411__	4411	Automobile dealers	3	T	265	
N4412__	4412	Other motor vehicle dealers	3	T	270	
N441310	441310	Automotive parts and accessories stores	5	T	273	
N44131_	44131	Automotive parts and accessories stores	4	T	272	
N441320	441320	Tire dealers	5	T	275	
N44132_	44132	Tire dealers	4	T	274	
N4413__	4413	Automotive parts, accessories, and tire stores	3	T	271	
N441___	441	Motor vehicle and parts dealers	2	T	264	
N442110	442110	Furniture stores	5	T	279	
N44211_	44211	Furniture stores	4	T	278	
N4421__	4421	Furniture stores	3	T	277	
N442210	442210	Floor covering stores	5	T	282	
N44221_	44221	Floor covering stores	4	T	281	
N44229_	44229	Other home furnishings stores	4	T	283	
N4422__	4422	Home furnishings stores	3	T	280	
N442___	442	Furniture and home furnishings stores	2	T	276	
N443141	443141	Household appliance stores	5	T	287	
N443142	443142	Electronics stores	5	T	288	
N44314_	44314	Electronics and appliance stores	4	T	286	
N4431__	4431	Electronics and appliance stores	3	T	285	
N443___	443	Electronics and appliance stores	2	T	284	
N444110	444110	Home centers	5	T	292	
N44411_	44411	Home centers	4	T	291	
N444130	444130	Hardware stores	5	T	294	
N44413_	44413	Hardware stores	4	T	293	
N4441__	4441	Building material and supplies dealers	3	T	290	
N444210	444210	Outdoor power equipment stores	5	T	297	
N44421_	44421	Outdoor power equipment stores	4	T	296	
N444220	444220	Nursery, garden center, and farm supply stores	5	T	299	
N44422_	44422	Nursery, garden center, and farm supply stores	4	T	298	
N4442__	4442	Lawn and garden equipment and supplies stores	3	T	295	
N444___	444	Building material and garden equipment and supplies dealers	2	T	289	
N445110	445110	Supermarkets and other grocery (except convenience) stores	5	T	303	
N44511_	44511	Supermarkets and other grocery (except convenience) stores	4	T	302	
N445120	445120	Convenience stores	5	T	305	
N44512_	44512	Convenience stores	4	T	304	
N4451__	4451	Grocery stores	3	T	301	
N4452__	4452	Specialty food stores	3	T	306	
N445310	445310	Beer, wine, and liquor stores	5	T	309	
N44531_	44531	Beer, wine, and liquor stores	4	T	308	
N4453__	4453	Beer, wine, and liquor stores	3	T	307	
N445___	445	Food and beverage stores	2	T	300	
N446110	446110	Pharmacies and drug stores	5	T	313	
N44611_	44611	Pharmacies and drug stores	4	T	312	
N446120	446120	Cosmetics, beauty supplies, and perfume stores	5	T	315	
N44612_	44612	Cosmetics, beauty supplies, and perfume stores	4	T	314	
N446130	446130	Optical goods stores	5	T	317	
N44613_	44613	Optical goods stores	4	T	316	
N44619_	44619	Other health and personal care stores	4	T	318	
N4461__	4461	Health and personal care stores	3	T	311	
N446___	446	Health and personal care stores	2	T	310	
N447110	447110	Gasoline stations with convenience stores	5	T	322	
N44711_	44711	Gasoline stations with convenience stores	4	T	321	
N447190	447190	Other gasoline stations	5	T	324	
N44719_	44719	Other gasoline stations	4	T	323	
N4471__	4471	Gasoline stations	3	T	320	
N447___	447	Gasoline stations	2	T	319	
N448110	448110	Men's clothing stores	5	T	328	
N44811_	44811	Men's clothing stores	4	T	327	
N448120	448120	Women's clothing stores	5	T	330	
N44812_	44812	Women's clothing stores	4	T	329	
N448140	448140	Family clothing stores	5	T	332	
N44814_	44814	Family clothing stores	4	T	331	
N448150	448150	Clothing accessories stores	5	T	334	
N44815_	44815	Clothing accessories stores	4	T	333	
N4481__	4481	Clothing stores	3	T	326	
N448210	448210	Shoe stores	5	T	337	
N44821_	44821	Shoe stores	4	T	336	
N4482__	4482	Shoe stores	3	T	335	
N4483__	4483	Jewelry, luggage, and leather goods stores	3	T	338	
N448___	448	Clothing and clothing accessories stores	2	T	325	
N44_45_	44,45	Retail trade	1	T	263	
N451110	451110	Sporting goods stores	5	T	342	
N45111_	45111	Sporting goods stores	4	T	341	
N451120	451120	Hobby, toy, and game stores	5	T	344	
N45112_	45112	Hobby, toy, and game stores	4	T	343	
N4511__	4511	Sporting goods, hobby, and musical instrument stores	3	T	340	
N45121_	45121	Book, periodical, and music stores	4	T	346	
N4512__	4512	Book, periodical, and music stores	3	T	345	
N451___	451	Sporting goods, hobby, book, and music stores	2	T	339	
N45211_	45211	Department stores	4	T	349	
N4521__	4521	Department stores	3	T	348	
N4529__	4529	Other general merchandise stores	3	T	350	
N452___	452	General merchandise stores	2	T	347	
N453110	453110	Florists	5	T	354	
N45311_	45311	Florists	4	T	353	
N4531__	4531	Florists	3	T	352	
N453210	453210	Office supplies and stationery stores	5	T	357	
N45321_	45321	Office supplies and stationery stores	4	T	356	
N453220	453220	Gift, novelty, and souvenir stores	5	T	359	
N45322_	45322	Gift, novelty, and souvenir stores	4	T	358	
N4532__	4532	Office supplies, stationery, and gift stores	3	T	355	
N453310	453310	Used merchandise stores	5	T	362	
N45331_	45331	Used merchandise stores	4	T	361	
N4533__	4533	Used merchandise stores	3	T	360	
N453910	453910	Pet and pet supplies stores	5	T	365	
N45391_	45391	Pet and pet supplies stores	4	T	364	
N4539__	4539	Other miscellaneous store retailers	3	T	363	
N453___	453	Miscellaneous store retailers	2	T	351	
N45411_	45411	Electronic shopping and mail-order houses	4	T	368	
N4541__	4541	Electronic shopping and mail-order houses	3	T	367	
N454210	454210	Vending machine operators	5	T	371	
N45421_	45421	Vending machine operators	4	T	370	
N4542__	4542	Vending machine operators	3	T	369	
N454310	454310	Fuel dealers	5	T	374	
N45431_	45431	Fuel dealers	4	T	373	
N454390	454390	Other direct selling establishments	5	T	376	
N45439_	45439	Other direct selling establishments	4	T	375	
N4543__	4543	Direct selling establishments	3	T	372	
N454___	454	Nonstore retailers	2	T	366	
N481___	481	Air transportation	2	T	378	
N482111	482111	Line-haul railroads	5	T	379	
N484110	484110	General freight trucking, local	5	T	383	
N48411_	48411	General freight trucking, local	4	T	382	
N48412_	48412	General freight trucking, long-distance	4	T	384	
N4841__	4841	General freight trucking	3	T	381	
N484210	484210	Used household and office goods moving	5	T	386	
N48421_	48421	Used household and office goods moving	4	T	385	
N484___	484	Truck transportation	2	T	380	
N491110	491110	Postal service	5	T	390	
N49111_	49111	Postal service	4	T	389	
N4911__	4911	Postal service	3	T	388	
N491___	491	Postal service	2	T	387	
N492___	492	Couriers and messengers	2	T	391	
N493110	493110	General warehousing and storage	5	T	395	
N49311_	49311	General warehousing and storage	4	T	394	
